Task,Agente,Squad,Input,Output,Stage,Data Files Usados
run-unniko-session,briefing-collector,Atendimento,Cliente,Respostas lapidadas (Feynman + 5 Whys),1,
collect-briefing,briefing-collector,Atendimento,Sessão unniko,Briefing BranDesire (16 campos),1,brandesire-fields.yaml
analyze-client,client-analyst,Atendimento,"Briefing, documentos",Client Analysis Report,1,
organize-assets,asset-manager,Atendimento,Arquivos do cliente,Asset Library organizada,1,
validate-checkpoint,checkpoint-validator,Atendimento,Todos os materiais,Gap Analysis + Routing,1,
mine-market-data,data-miner,Search & Insights,"Briefing, segmento",Raw Data Collection,2,
extract-nielsen-data,data-miner,Search & Insights,"Segmento, categoria",Nielsen Market Report,2,
extract-lca-data,data-miner,Search & Insights,Segmento,LCA Consumer Data,2,
analyze-trends,trend-analyst,Search & Insights,Dados coletados,Trend Report,2,
consult-euromonitor,trend-analyst,Search & Insights,"Categoria, região",Euromonitor Insights,2,
consult-mintel,trend-analyst,Search & Insights,Categoria,Mintel Report Summary,2,
consult-wgsn,trend-analyst,Search & Insights,Segmento,WGSN Trend Forecast,2,
synthesize-insights,insight-synthesizer,Search & Insights,Todos os dados,Insights Document,2,
build-ikigai,purpose-architect,DEENEA,"Briefing, insights",Ikigai Diagram,3,
define-purpose-mission,purpose-architect,DEENEA,Ikigai,Purpose & Mission Statements,3,
map-audience,audience-mapper,DEENEA,Dados de mercado,Persona Documents (JTBD),3,
define-values-culture,culture-definer,DEENEA,Todo o contexto,Values & Culture Doc,3,
map-archetypes,archetype-mapper,DEENEA,"Posicionamento, valores",Archetype Profile (Jung + Aaker),3,archetypes.yaml
build-positioning,brand-architect,DEENEA,"Propósito, personas, arquétipos",Positioning Statement + PUV,3,
validate-positioning,brand-architect,DEENEA,"Positioning, Competitive Data",Validated Positioning + Gaps,3,
validate-strategy,cbo,CBO,Brand Strategy Document,Approved / Feedback,4,
analyze-competitive-gaps,competitive-analyst,UNNIKO,"Brand Strategy, dados",Competitive Gap Analysis,5,
design-promise,promise-designer,UNNIKO,"Análise competitiva, PUV",Brand Promise Statement,5,
define-differentiators,promise-designer,UNNIKO,"Gap Analysis, Promise",Differentiators Document,5,
build-design-system,design-system-architect,UNNIKO,"Posicionamento, arquétipos",Design System Guidelines (YAML),5,
create-brand-concept,identity-architect,UNNIKO,"Promessa, diferenciais",Brand Concept (Big Idea de Marca),5,
define-sensory-artifacts,identity-architect,UNNIKO,"Brand Concept, arquétipos",Sensory Artifacts Doc,5,
compile-identity,identity-architect,UNNIKO,Todo o contexto,Brand Identity Document,5,
validate-identity,cbo,CBO,Brand Identity Document,Approved / Feedback,6,
develop-big-idea,big-idea-architect,storYOURtelling,"Briefing, posicionamento, diferenciação",Big Idea Candidates,7,storytelling-frameworks.yaml
select-big-idea,big-idea-architect,storYOURtelling,"Candidates, validação",Big Idea Aprovada,7,
create-core-concept,concept-writer,storYOURtelling,Big Idea aprovada,Core Creative Idea,7,narrative-techniques.yaml
define-tone-of-voice,concept-writer,storYOURtelling,"Arquétipos, conceito",Tone of Voice Guidelines,7,
map-emotions,narrative-designer,storYOURtelling,"Público, objetivos",Emotion Map (Panksepp + Plutchik),7,"panksepp-systems.yaml, plutchik-emotions.yaml"
select-storytelling-framework,narrative-designer,storYOURtelling,"Tipo de história, objetivo, público, duração",Framework recomendado + justificativa,7,"story-structures-matrix.yaml, storytelling-frameworks.yaml"
design-narrative,narrative-designer,storYOURtelling,"Story, emotion map, framework",Narrative Framework,7,"storytelling-frameworks.yaml, narrative-techniques.yaml"
write-copy,copywriter,storYOURtelling,"Conceito, tom de voz",Copy em todos os formatos,7,narrative-techniques.yaml
direct-visual,art-director,storYOURtelling,"Conceito, Design System",Visual Direction + Linguagem Visual,7,
compile-creative-brief,creative-director,storYOURtelling,Todo o contexto,Creative Brief,7,
validate-creative,cbo,CBO,Creative Brief,Approved / Feedback,8,
define-platform-strategy,social-media-strategist,Content Ops,"Creative Brief, públicos",Platform Strategy Document,9,
plan-content-calendar,scheduler,Content Ops,"Strategy, frequência",Content Calendar,9,
produce-copy-content,content-producer,Content Ops,"Calendar, tom de voz",Textos e roteiros,9,
create-visual-content,visual-creator,Content Ops,"Calendar, Design System",Peças visuais,9,
repurpose-content,content-producer,Content Ops,Conteúdo original,Adaptações por plataforma,9,
review-content-quality,content-director,Content Ops,Conteúdos produzidos,Aprovação / Feedback,9,
schedule-posts,scheduler,Content Ops,Conteúdos aprovados,Posts agendados,9,
analyze-content-performance,social-media-strategist,Content Ops,Métricas das plataformas,Content Performance Report,9,
design-funnel,funnel-architect,Growth Ops,"Objetivos, público",Funnel Blueprint (AARRR),9,
setup-campaigns,traffic-manager,Growth Ops,"Funnel, budget",Campaign Structure,9,
manage-traffic,traffic-manager,Growth Ops,Campanhas ativas,Traffic Report,9,
run-ab-tests,campaign-optimizer,Growth Ops,"Hipóteses, variantes",A/B Test Results,9,
optimize-campaigns,campaign-optimizer,Growth Ops,Dados + A/B results,Optimization Actions,9,
analyze-metrics,analytics-reader,Growth Ops,Dados das plataformas,Analytics Report,9,
generate-insights,analytics-reader,Growth Ops,Reports,Growth Insights,9,
report-to-director,growth-director,Growth Ops,Todos os dados,Executive Growth Report,9,
approve-delivery,cbo,CBO,Todos os entregáveis,Final Approval,10,
